id	name	direction	gpr	pathway	enzyme	equation	reference
DCYTt2pp	deoxycytidine transport in via proton symport (periplasm)	>	( b2393  or  b2964 )	Transport, Inner Membrane		dcyt[p] + h[p] --> dcyt[c] + h[c]	
DCYTtex	deoxycytidine transport via diffusion (extracellular to periplasm)	=	b0411	Transport, Outer Membrane		dcyt[e] <==> dcyt[p]	
DDCAtexi	Fatty acid (dodecanoate) transport via facilitated irreversible diffusion (extracellular to periplasm)	>	b2344	Transport, Outer Membrane		ddca[e] --> ddca[p]	10328825
DDGALK	2-dehydro-3-deoxygalactonokinase	>	b3693	Alternate Carbon Metabolism	2.7.1.58	[c] : 2dh3dgal + atp --> 2dh3dgal6p + adp + h	0
DDGLCNt2rpp	2-dehydro-3-deoxy-D-gluconate transport via proton symport, reversible (periplasm)	=	b3909	Transport, Inner Membrane		2ddglcn[p] + h[p] <==> 2ddglcn[c] + h[c]	0
DDGLCNtex	2-dehydro-3-deoxy-D-gluconate transport via diffusion (extracellular to periplasm)	=	( b0241  or  b0929  or  b1377  or  b2215 )	Transport, Outer Membrane Porin		2ddglcn[e] <==> 2ddglcn[p]	
DDGLK	2-dehydro-3-deoxygluconokinase	>	b3526	Alternate Carbon Metabolism	2.7.1.45	[c] : 2ddglcn + atp --> 2ddg6p + adp + h	0
DDPA	3-deoxy-D-arabino-heptulosonate 7-phosphate synthetase	>	( b2601  or  b0754  or  b1704 )	Tyrosine, Tryptophan, and Phenylalanine Metabolism	4.1.2.15	[c] : e4p + h2o + pep --> 2dda7p + pi	
DDPGALA	2-dehydro-3-deoxy-6-phosphogalactonate aldolase	=	b4477	Alternate Carbon Metabolism	4.1.2.21	[c] : 2dh3dgal6p <==> g3p + pyr	0
DGK1	deoxyguanylate kinase (dGMP:ATP)	=	b3648	Nucleotide Salvage Pathway	2.7.4.8	[c] : atp + dgmp <==> adp + dgdp	
DGMPtex	dGMP transport via diffusion (extracellular to periplasm)	=	( b0241  or  b0929  or  b1377  or  b2215 )	Transport, Outer Membrane Porin		dgmp[e] <==> dgmp[p]	
DGSNt2pp	deoxyguanosine transport in via proton symport (periplasm)	>	b2964	Transport, Inner Membrane		dgsn[p] + h[p] --> dgsn[c] + h[c]	
DGSNtex	deoxyguanosine transport via diffusion (extracellular to periplasm)	=	( b0241  or  b0929  or  b1377  or  b2215 )	Transport, Outer Membrane Porin		dgsn[e] <==> dgsn[p]	
DHAD1	dihydroxy-acid dehydratase (2,3-dihydroxy-3-methylbutanoate)	>	b3771	Valine, Leucine, and Isoleucine Metabolism	4.2.1.9	[c] : 23dhmb --> 3mob + h2o	
DHAD2	Dihydroxy-acid dehydratase (2,3-dihydroxy-3-methylpentanoate)	>	b3771	Valine, Leucine, and Isoleucine Metabolism		[c] : 23dhmp --> 3mop + h2o	
DHAPT	Dihydroxyacetone phosphotransferase	>	( b1200  and  b1199  and  b1198  and  b2415  and  b2416 )	Alternate Carbon Metabolism		[c] : dha + pep --> dhap + pyr	11021910
DHAtex	Dihydroxyacetone transport via diffusion (extracellular to periplasm)	=	( b0241  or  b0929  or  b1377  or  b2215 )	Transport, Outer Membrane Porin		dha[e] <==> dha[p]	
DHAtpp	Dihydroxyacetone transport via facilitated diffusion (periplasm)	=		Transport, Inner Membrane		dha[p] <==> dha[c]	
DHBD	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase	=	b0596	Cofactor and Prosthetic Group Biosynthesis	1.3.1.28	[c] : 23ddhb + nad <==> 23dhb + h + nadh	
DHBS	2,3-dihydroxybenzoate adenylate synthase	>	b0594	Cofactor and Prosthetic Group Biosynthesis	2.7.7.58	[c] : 23dhb + atp + h --> 23dhba + ppi	9485415
DHBSH	2,3-dihydroxybenzoylserine hydrolase	>		Cofactor and Prosthetic Group Biosynthesis		[c] : 23dhbzs + h2o --> 23dhb + ser-L	
DHCIND	2,3-dihydroxycinnamate dehydrogenase	>	b2541	Alternate Carbon Metabolism		[c] : cenchddd + nad --> dhcinnm + h + nadh	9603882
DHCINDO	2,3-dihydroxycinnamate 1,2-dioxygenase	>	b0348	Alternate Carbon Metabolism		[c] : dhcinnm + o2 --> h + hkntd	9603882
DHDPRy	dihydrodipicolinate reductase (NADPH)	>	b0031	Threonine and Lysine Metabolism	1.3.1.26	[c] : 23dhdp + h + nadph --> nadp + thdp	
DHDPS	dihydrodipicolinate synthase	>	b2478	Threonine and Lysine Metabolism	4.2.1.52	[c] : aspsa + pyr --> 23dhdp + h + (2) h2o	
DHFR	dihydrofolate reductase	=	( b0048  or  b1606 )	Cofactor and Prosthetic Group Biosynthesis	1.5.1.3	[c] : dhf + h + nadph <==> nadp + thf	14617668
DHFS	dihydrofolate synthase	>	b2315	Cofactor and Prosthetic Group Biosynthesis	6.3.2.12	[c] : atp + dhpt + glu-L --> adp + dhf + h + pi	
DHNAOT4	1,4-dihydroxy-2-naphthoate octaprenyltransferase	>	b3930	Cofactor and Prosthetic Group Biosynthesis		[c] : dhna + h + octdp --> 2dmmql8 + co2 + ppi	
DHNPA2	dihydroneopterin aldolase	>	b3058	Cofactor and Prosthetic Group Biosynthesis		[c] : dhnpt --> 6hmhpt + gcald	
DHORD2	dihydoorotic acid dehydrogenase (quinone8)	>	b0945	Purine and Pyrimidine Biosynthesis	1.3.3.1	[c] : dhor-S + q8 --> orot + q8h2	
DHORD5	dihydroorotic acid (menaquinone-8)	>	b0945	Purine and Pyrimidine Biosynthesis	1.3.3.1	[c] : dhor-S + mqn8 --> mql8 + orot	
DHORTS	dihydroorotase	=	b1062	Purine and Pyrimidine Biosynthesis	3.5.2.3	[c] : dhor-S + h2o <==> cbasp + h	
DHPPD	2,3-dihydroxyphenylpropionate dehydrogenase	>	b2541	Alternate Carbon Metabolism		[c] : cechddd + nad --> dhpppn + h + nadh	9603882
DHPPDA2	diaminohydroxyphosphoribosylaminopryrimidine deaminase (25drapp)	>	b0414	Cofactor and Prosthetic Group Biosynthesis	3.5.4.26	[c] : 25drapp + h + h2o --> 5apru + nh4	
DHPS2	dihydropteroate synthase	>	b3177	Cofactor and Prosthetic Group Biosynthesis	2.5.1.15	[c] : 4abz + 6hmhptpp --> dhpt + ppi	
DHPTDCs	4,5-dihydroxy-2,3-pentanedione cyclization (spontaneous)	>	s0001	Methionine Metabolism		[c] : dhptd --> h2o + hmfurn	11932438
DHPTPE	dihydroneopterin triphosphate 2'-epimerase	=	b2303	Cofactor and Prosthetic Group Biosynthesis		[c] : ahdt <==> dhmptp	
DHQS	3-dehydroquinate synthase	>	b3389	Tyrosine, Tryptophan, and Phenylalanine Metabolism		[c] : 2dda7p --> 3dhq + pi	
DHQTi	3-dehydroquinate dehydratase, irreversible	>	b1693	Tyrosine, Tryptophan, and Phenylalanine Metabolism	4.2.1.10	[c] : 3dhq --> 3dhsk + h2o	
DIMPtex	dIMP transport via diffusion (extracellular to periplasm)	=	( b0241  or  b0929  or  b1377  or  b2215 )	Transport, Outer Membrane Porin		dimp[e] <==> dimp[p]	
DINSt2pp	deoxyinosine transport in via proton symport (periplasm)	>	b2964	Transport, Inner Membrane		din[p] + h[p] --> din[c] + h[c]	
DINStex	deoxyinosine transport via diffusion (extracellular to periplasm)	=	( b0241  or  b0929  or  b1377  or  b2215 )	Transport, Outer Membrane Porin		din[e] <==> din[p]	
DKGLCNR1	2,5-diketo-D-gluconate reductase	>	( b0207  or  b3012 )	Alternate Carbon Metabolism		[c] : 25dkglcn + h + nadph --> 2dhguln + nadp	10427017
DKGLCNR2x	2,5-diketo-D-gluconate reductase (NADH)	>	b3553	Alternate Carbon Metabolism		[c] : 25dkglcn + h + nadh --> 5dglcn + nad	9811658
DKGLCNR2y	2,5-diketo-D-gluconate reductase (NADPH)	>	b3553	Alternate Carbon Metabolism		[c] : 25dkglcn + h + nadph --> 5dglcn + nadp	9811658
DKMPPD	2,3-diketo-5-methylthio-1-phosphopentane degradation reaction	>		Arginine and Proline Metabolism		[c] : dkmpp + h2o + o2 --> 2kmb + for + (2) h + pi	12022921
DKMPPD3	2,3-diketo-5-methylthio-1-phosphopentane degradation reaction	>		Arginine and Proline Metabolism		[c] : dkmpp + (3) h2o + (2) nad --> 2kmb + for + (4) h + (2) nadh + pi	12022921
D-LACt2pp	D-lactate transport via proton symport (periplasm)	=	( b3603  or  b2975 )	Transport, Inner Membrane		h[p] + lac-D[p] <==> h[c] + lac-D[c]	11785976
D-LACtex	D-lactate transport via diffusion (extracellular to periplasm)	=	( b0241  or  b0929  or  b1377  or  b2215 )	Transport, Outer Membrane Porin		lac-D[e] <==> lac-D[p]	
DM_4HBA	Sink needed to allow 4-hydroxy-benzoate to leave system	>				[c] : 4hba -->	
DM_5DRIB	Sink needed to allow 5'-deoxyribose to leave system	>				[c] : 5drib -->	
DM_AACALD	Sink needed to allow aminoacetaldehyde to leave system	>				[c] : aacald -->	
DM_HMFURN	Sink needed to allow 4-hydroxy-5-methyl-3(2H)-furanone to leave system	>				[c] : hmfurn -->	
DM_OXAM	Sink needed to allow oxamate to leave system	>				[c] : oxam -->	
DMATT	dimethylallyltranstransferase	>	b0421	Cofactor and Prosthetic Group Biosynthesis	2.5.1.1	[c] : dmpp + ipdp --> grdp + ppi	
DMPPS	1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate reductase (dmpp)	>	b0029	Cofactor and Prosthetic Group Biosynthesis		[c] : h + h2mb4p + nadh --> dmpp + h2o + nad	12198182
DMQMT	3-Dimethylubiquinonol 3-methyltransferase	>	b2232	Cofactor and Prosthetic Group Biosynthesis		[c] : 2omhmbl + amet --> ahcys + h + q8h2	
DMSOR1	Dimethyl sulfoxide reductase (Menaquinol 8)	>	( ( b1587  and  b1588  and  b1589  and  b1590 )  or  ( b0894  and  b0895  and  b0896 ) )	Oxidative Phosphorylation		[c] : dmso + mql8 --> dms + h2o + mqn8	14522592
DMSOR1pp	Dimethyl sulfoxide reductase (Menaquinol 8) (periplasm)	>	( b1872  and  b1873 )	Oxidative Phosphorylation		dmso[p] + mql8[c] --> dms[p] + h2o[p] + mqn8[c]	11004177
DMSOR2	Dimethyl sulfoxide reductase (Demethylmenaquinol 8)	>	( b0894  and  b0895  and  b0896 )	Oxidative Phosphorylation		[c] : 2dmmql8 + dmso --> 2dmmq8 + dms + h2o	
DMSOR2pp	Dimethyl sulfoxide reductase (Demethylmenaquinol 8) (periplasm)	>	( b1872  and  b1873 )	Oxidative Phosphorylation		2dmmql8[c] + dmso[p] --> 2dmmq8[c] + dms[p] + h2o[p]	11004177
DMSOtex	Dimethyl sulfoxide transport via diffusion (extracellular to periplasm)	=	( b0241  or  b0929  or  b1377  or  b2215 )	Transport, Outer Membrane Porin		dmso[e] <==> dmso[p]	
DMStex	Dimethyl sulfide transport via diffusion (extracellular to periplasm)	=	( b0241  or  b0929  or  b1377  or  b2215 )	Transport, Outer Membrane Porin		dms[e] <==> dms[p]	
DNMPPA	Dihydroneopterin monophosphate dephosphorylase	>		Cofactor and Prosthetic Group Biosynthesis		[c] : dhpmp + h2o --> dhnpt + pi	
DNTPPA	Dihydroneopterin triphosphate pyrophosphatase	>	( b1865  or  b0099 )	Cofactor and Prosthetic Group Biosynthesis		[c] : ahdt + h2o --> dhpmp + h + ppi	
DOGULNR	2,3 dioxo-L-gulonate reductase	>	b3575	Alternate Carbon Metabolism		[c] : 23doguln + h + nadh --> 3dhguln + nad	11741871
DOPAtex	dopamine transport via diffusion (extracellular to periplasm)	=	( b0241  or  b0929  or  b1377  or  b2215 )	Transport, Outer Membrane Porin		dopa[e] <==> dopa[p]	
DPCOAK	dephospho-CoA kinase	>	b0103	Cofactor and Prosthetic Group Biosynthesis	2.7.1.24	[c] : atp + dpcoa --> adp + coa + h	11292795
DPR	2-dehydropantoate 2-reductase	>	( b0425  or  b3774 )	Cofactor and Prosthetic Group Biosynthesis	1.1.1.169	[c] : 2dhp + h + nadph --> nadp + pant-R	
DRPA	deoxyribose-phosphate aldolase	>	b4381	Alternate Carbon Metabolism	4.1.2.4	[c] : 2dr5p --> acald + g3p	
DSBAO1	DsbA protein reoxidation reaction (aerobic)	>	( b3860  and  b1185 )	Unassigned		dsbard[p] + q8[c] --> dsbaox[p] + q8h2[c]	
DSBAO2	DsbA protein reoxidation reaction (anaerobic)	>	( b3860  and  b1185 )	Unassigned		dsbard[p] + mqn8[c] --> dsbaox[p] + mql8[c]	
DSBCGT	DsbC:glutathione thiotransferase	>	b2893	Unassigned		[p] : dsbcox + (2) gthrd --> dsbcrd + gthox	
DSBDR	DsbD reductase	>	( ( b4136  and  b3781 )  or  ( b4136  and  b2582 ) )	Unassigned		[c] : dsbdox + trdrd --> dsbdrd + trdox	
DSBGGT	DsbG:glutathione thiotransferase	>	b0604	Unassigned		[p] : dsbgox + (2) gthrd --> dsbgrd + gthox	
DSERDHr	D-serine dehydrogenase	=	b1539	Glycine and Serine Metabolism		[c] : nadp + ser-D <==> 2amsa + h + nadph	12535615
DSERt2pp	D-serine transport in via proton symport (periplasm)	>	b4208	Transport, Inner Membrane		h[p] + ser-D[p] --> h[c] + ser-D[c]	15221223
DSERtex	D-serine transport via diffusion (extracellular to periplasm)	=	( b0241  or  b0929  or  b1377  or  b2215 )	Transport, Outer Membrane Porin		ser-D[e] <==> ser-D[p]	
DTMPK	dTMP kinase	=	b1098	Nucleotide Salvage Pathway	2.7.4.9	[c] : atp + dtmp <==> adp + dtdp	
DTMPtex	dTMP transport via diffusion (extracellular to periplasm)	=	( b0241  or  b0929  or  b1377  or  b2215 )	Transport, Outer Membrane Porin		dtmp[e] <==> dtmp[p]	
DUMPtex	dUMP transport via diffusion (extracellular to periplasm)	=	( b0241  or  b0929  or  b1377  or  b2215 )	Transport, Outer Membrane Porin		dump[e] <==> dump[p]	
DURIK1	deoxyuridine kinase (ATP:Deoxyuridine)	>	b1238	Nucleotide Salvage Pathway		[c] : atp + duri --> adp + dump + h	10747860
DURIPP	deoxyuridine phosphorylase	=	( b4382  or  b4384 )	Nucleotide Salvage Pathway		[c] : duri + pi <==> 2dr1p + ura	
DURIt2pp	deoxyuridine transport in via proton symport (periplasm)	>	( b2393  or  b2964 )	Transport, Inner Membrane		duri[p] + h[p] --> duri[c] + h[c]	
DURItex	deoxyuridine transport via diffusion (extracellular to periplasm)	=	b0411	Transport, Outer Membrane		duri[e] <==> duri[p]	
DUTPDP	dUTP diphosphatase	>	( b3640  or  b2251 )	Nucleotide Salvage Pathway	3.6.1.23	[c] : dutp + h2o --> dump + h + ppi	
DXPRIi	1-deoxy-D-xylulose reductoisomerase	>	b0173	Cofactor and Prosthetic Group Biosynthesis		[c] : dxyl5p + h + nadph --> 2me4p + nadp	12010124
DXPS	1-deoxy-D-xylulose 5-phosphate synthase	>	b0420	Cofactor and Prosthetic Group Biosynthesis		[c] : g3p + h + pyr --> co2 + dxyl5p	11818558
DXYLK	1-Deoxy-D-xylulose kinase	>	b3564	Cofactor and Prosthetic Group Biosynthesis		[c] : atp + dxyl --> adp + dxyl5p + h	11168365
E4PD	Erythrose 4-phosphate dehydrogenase	=	b2927	Cofactor and Prosthetic Group Biosynthesis		[c] : e4p + h2o + nad <==> 4per + (2) h + nadh	
EAR100x	enoyl-[acyl-carrier-protein] reductase (NADH) (n-C10:0)	>	b1288	Cell Envelope Biosynthesis	1.3.1.9	[c] : h + nadh + tdec2eACP --> dcaACP + nad	8119879
EAR100y	enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C10:0)	>	b1288	Cell Envelope Biosynthesis	1.3.1.10	[c] : h + nadph + tdec2eACP --> dcaACP + nadp	8119879
EAR120x	enoyl-[acyl-carrier-protein] reductase (NADH) (n-C12:0)	>	b1288	Cell Envelope Biosynthesis	1.3.1.9	[c] : h + nadh + tddec2eACP --> ddcaACP + nad	8119879
EAR120y	enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C12:0)	>	b1288	Cell Envelope Biosynthesis	1.3.1.10	[c] : h + nadph + tddec2eACP --> ddcaACP + nadp	8119879
EAR121x	enoyl-[acyl-carrier-protein] reductase (NADH) (n-C12:1)	>	b1288	Cell Envelope Biosynthesis	1.3.1.9	[c] : h + nadh + t3c5ddeceACP --> cddec5eACP + nad	8119879
EAR121y	enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C12:1)	>	b1288	Cell Envelope Biosynthesis	1.3.1.10	[c] : h + nadph + t3c5ddeceACP --> cddec5eACP + nadp	8119879
EAR140x	enoyl-[acyl-carrier-protein] reductase (NADH) (n-C14:0)	>	b1288	Cell Envelope Biosynthesis	1.3.1.9	[c] : h + nadh + tmrs2eACP --> myrsACP + nad	8119879
EAR140y	enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C14:0)	>	b1288	Cell Envelope Biosynthesis	1.3.1.10	[c] : h + nadph + tmrs2eACP --> myrsACP + nadp	8119879
EAR141x	enoyl-[acyl-carrier-protein] reductase (NADH) (n-C14:1)	>	b1288	Cell Envelope Biosynthesis	1.3.1.9	[c] : h + nadh + t3c7mrseACP --> nad + tdeACP	8119879
EAR141y	enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C14:1)	>	b1288	Cell Envelope Biosynthesis	1.3.1.10	[c] : h + nadph + t3c7mrseACP --> nadp + tdeACP	8119879
EAR160x	enoyl-[acyl-carrier-protein] reductase (NADH) (n-C16:0)	>	b1288	Cell Envelope Biosynthesis	1.3.1.9	[c] : h + nadh + tpalm2eACP --> nad + palmACP	8119879
EAR160y	enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C16:0)	>	b1288	Cell Envelope Biosynthesis	1.3.1.10	[c] : h + nadph + tpalm2eACP --> nadp + palmACP	8119879
EAR161x	enoyl-[acyl-carrier-protein] reductase (NADH) (n-C16:1)	>	b1288	Cell Envelope Biosynthesis	1.3.1.9	[c] : h + nadh + t3c9palmeACP --> hdeACP + nad	8119879
EAR161y	enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C16:1)	>	b1288	Cell Envelope Biosynthesis	1.3.1.10	[c] : h + nadph + t3c9palmeACP --> hdeACP + nadp	8119879
EAR180x	enoyl-[acyl-carrier-protein] reductase (NADH) (n-C18:0)	>	b1288	Cell Envelope Biosynthesis	1.3.1.9	[c] : h + nadh + toctd2eACP --> nad + ocdcaACP	8119879
EAR180y	enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C18:0)	>	b1288	Cell Envelope Biosynthesis	1.3.1.10	[c] : h + nadph + toctd2eACP --> nadp + ocdcaACP	8119879
EAR181x	enoyl-[acyl-carrier-protein] reductase (NADH) (n-C18:1)	>	b1288	Cell Envelope Biosynthesis	1.3.1.9	[c] : h + nadh + t3c11vaceACP --> nad + octeACP	8119879
EAR181y	enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C18:1)	>	b1288	Cell Envelope Biosynthesis	1.3.1.10	[c] : h + nadph + t3c11vaceACP --> nadp + octeACP	8119879
EAR40x	enoyl-[acyl-carrier-protein] reductase (NADH) (n-C4:0)	>	b1288	Cell Envelope Biosynthesis	1.3.1.9	[c] : but2eACP + h + nadh --> butACP + nad	8119879
EAR40y	enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C4:0)	>	b1288	Cell Envelope Biosynthesis	1.3.1.10	[c] : but2eACP + h + nadph --> butACP + nadp	8119879
EAR60x	enoyl-[acyl-carrier-protein] reductase (NADH) (n-C6:0)	>	b1288	Cell Envelope Biosynthesis	1.3.1.9	[c] : h + nadh + thex2eACP --> hexACP + nad	8119879
EAR60y	enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C6:0)	>	b1288	Cell Envelope Biosynthesis	1.3.1.10	[c] : h + nadph + thex2eACP --> hexACP + nadp	8119879
EAR80x	enoyl-[acyl-carrier-protein] reductase (NADH) (n-C8:0)	>	b1288	Cell Envelope Biosynthesis	1.3.1.9	[c] : h + nadh + toct2eACP --> nad + ocACP	8119879
EAR80y	enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C8:0)	>	b1288	Cell Envelope Biosynthesis	1.3.1.10	[c] : h + nadph + toct2eACP --> nadp + ocACP	8119879
ECA4COLIPAtex	enterobacterial common antigen (x4) core oligosaccharide lipid A transport (periplasm to extracellular)	>		Lipopolysaccharide Biosynthesis / Recycling		eca4colipa[p] --> eca4colipa[e]	
ECA4OALpp	enterobacterial common antigen (x4) O-antigen ligase (periplasm)	>	b3622	Lipopolysaccharide Biosynthesis / Recycling		[p] : colipa + eca4und --> eca4colipa + h + udcpdp	12045108
ECAP1pp	enterobacterial common antigen polymerase (periplasm)	>	( b3793  and  b3785 )	Lipopolysaccharide Biosynthesis / Recycling		[p] : (2) unagamuf --> eca2und + h + udcpdp	0
ECAP2pp	enterobacterial common antigen polymerase (periplasm)	>	( b3793  and  b3785 )	Lipopolysaccharide Biosynthesis / Recycling		[p] : eca2und + unagamuf --> eca3und + h + udcpdp	12621029
ECAP3pp	enterobacterial common antigen polymerase (periplasm)	>	( b3793  and  b3785 )	Lipopolysaccharide Biosynthesis / Recycling		[p] : eca3und + unagamuf --> eca4und + h + udcpdp	12621029
ECAtpp	enterobacterial common antigen transferase (flippase, cytoplasm to periplasm)	>	b3792	Lipopolysaccharide Biosynthesis / Recycling		unagamuf[c] --> unagamuf[p]	12621029
ECOAH1	3-hydroxyacyl-CoA dehydratase (3-hydroxybutanoyl-CoA)	=	( b3846  or  b2341 )	Membrane Lipid Metabolism	4.2.1.17	[c] : 3hbcoa <==> b2coa + h2o	12535077
ECOAH2	3-hydroxyacyl-CoA dehydratase (3-hydroxyhexanoyl-CoA)	=	( b3846  or  b2341 )	Membrane Lipid Metabolism	4.2.1.17	[c] : 3hhcoa <==> h2o + hx2coa	12535077
ECOAH3	3-hydroxyacyl-CoA dehydratase (3-hydroxyoctanoyl-CoA)	=	( b3846  or  b2341 )	Membrane Lipid Metabolism	4.2.1.17	[c] : 3hocoa <==> h2o + oc2coa	12535077
ECOAH4	3-hydroxyacyl-CoA dehydratase (3-hydroxydecanoyl-CoA)	=	( b3846  or  b2341 )	Membrane Lipid Metabolism	4.2.1.17	[c] : 3hdcoa <==> dc2coa + h2o	12535077
ECOAH5	3-hydroxyacyl-CoA dehydratase (3-hydroxydodecanoyl-CoA)	=	( b3846  or  b2341 )	Membrane Lipid Metabolism	4.2.1.17	[c] : 3hddcoa <==> dd2coa + h2o	12535077
ECOAH6	3-hydroxyacyl-CoA dehydratase (3-hydroxytetradecanoyl-CoA)	=	( b3846  or  b2341 )	Membrane Lipid Metabolism	4.2.1.17	[c] : 3htdcoa <==> h2o + td2coa	12535077
ECOAH7	3-hydroxyacyl-CoA dehydratase (3-hydroxyhexadecanoyl-CoA)	=	( b3846  or  b2341 )	Membrane Lipid Metabolism	4.2.1.17	[c] : 3hhdcoa <==> h2o + hdd2coa	12535077
ECOAH8	3-hydroxyacyl-CoA dehydratase (3-hydroxyoctadecanoyl-CoA)	=	( b3846  or  b2341 )	Membrane Lipid Metabolism	4.2.1.17	[c] : 3hodcoa <==> h2o + od2coa	12535077
EDA	2-dehydro-3-deoxy-phosphogluconate aldolase	>	b1850	Pentose Phosphate Pathway	4.1.2.14	[c] : 2ddg6p --> g3p + pyr	
EDD	6-phosphogluconate dehydratase	>	b1851	Pentose Phosphate Pathway	4.2.1.12	[c] : 6pgc --> 2ddg6p + h2o	
EDTXS1	Endotoxin Synthesis (lauroyl transferase)	>	b1054	Lipopolysaccharide Biosynthesis / Recycling		[c] : ddcaACP + kdo2lipid4 --> ACP + kdo2lipid4L	
EDTXS2	Endotoxin Synthesis (myristoyl transferase)	>	b1855	Lipopolysaccharide Biosynthesis / Recycling		[c] : kdo2lipid4L + myrsACP --> ACP + lipa	
EDTXS3	Endotoxin Synthesis (palmitoleoyl ACP)	>	b2378	Lipopolysaccharide Biosynthesis / Recycling		[c] : hdeACP + kdo2lipid4 --> ACP + kdo2lipid4p	10092655
EDTXS4	Endotoxin Synthesis (myristoyl transferase)	>	b1855	Lipopolysaccharide Biosynthesis / Recycling		[c] : kdo2lipid4p + myrsACP --> ACP + lipa_cold	10092655
ENLIPAtex	phosphoethanolamine lipid A transport via vector (periplasm to extracellular)	>		Lipopolysaccharide Biosynthesis / Recycling		enlipa[p] --> enlipa[e]	15576375
ENO	enolase	=	b2779	Glycolysis/Gluconeogenesis	4.2.1.11	[c] : 2pg <==> h2o + pep	
ENTCS	enterochelin synthase	>	b0583	Cofactor and Prosthetic Group Biosynthesis		[c] : (3) 23dhba + (3) seramp --> (6) amp + enter + (9) h	9485415
ENTERES	Enterochelin Esterase	>	b0585	Inorganic Ion Transport and Metabolism		[c] : enter + (3) h2o --> (3) 23dhbzs + (3) h	
ENTERES2	Enterochelin Esterase (Fe containing)	>	b0585	Inorganic Ion Transport and Metabolism		[c] : feenter + (3) h2o --> (3) 23dhbzs + fe3 + (3) h	
ETHAAL	Ethanolamine ammonia-lyase	>	( b2440  and  b2441 )	Cell Envelope Biosynthesis	4.3.1.7	[c] : etha --> acald + nh4	11752253
ETHAt2pp	ethanolamine transport in via proton symport	>		Transport, Inner Membrane		etha[p] + h[p] --> etha[c] + h[c]	
ETHAtex	ethanolamine transport via diffusion (extracellular)	=	( b0241  or  b0929  or  b1377  or  b2215 )	Transport, Outer Membrane Porin		etha[e] <==> etha[p]	
ETHSO3abcpp	ethanesulfonate transport via ABC system (periplasm)	>	( b0936  and  b0933  and  b0934 )	Transport, Inner Membrane		atp[c] + ethso3[p] + h2o[c] --> adp[c] + ethso3[c] + h[c] + pi[c]	10781534
ETHSO3tex	ethanesulfonate transport via diffusion (extracellular to periplasm)	=	( b0241  or  b0929  or  b1377  or  b2215 )	Transport, Outer Membrane Porin		ethso3[e] <==> ethso3[p]	
ETOHt2rpp	ethanol reversible transport via proton symport (periplasm)	=		Transport, Inner Membrane		etoh[p] + h[p] <==> etoh[c] + h[c]	
ETOHtex	ethanol transport via diffusion (extracellular to periplasm)	=	( b0241  or  b0929  or  b1377  or  b2215 )	Transport, Outer Membrane Porin		etoh[e] <==> etoh[p]	
EX_12ppd-R(e)	(R)-Propane-1,2-diol exchange	=				[e] : 12ppd-R <==>	
EX_12ppd-S(e)	(S)-Propane-1,2-diol exchange	=				[e] : 12ppd-S <==>	
EX_14glucan(e)	1,4-alpha-D-glucan exchange	=				[e] : 14glucan <==>	
EX_15dap(e)	1,5-Diaminopentane exchange	=				[e] : 15dap <==>	
EX_23camp(e)	2',3'-Cyclic AMP exchange	=				[e] : 23camp <==>	
EX_23ccmp(e)	2',3'-Cyclic CMP exchange	=				[e] : 23ccmp <==>	
EX_23cgmp(e)	2',3'-Cyclic GMP exchange	=				[e] : 23cgmp <==>	
EX_23cump(e)	2',3'-Cyclic UMP exchange	=				[e] : 23cump <==>	
EX_23dappa(e)	2,3-diaminopropionate exchange	=				[e] : 23dappa <==>	
EX_26dap-M(e)	meso-2,6-Diaminoheptanedioate exchange	=				[e] : 26dap-M <==>	
EX_2ddglcn(e)	2-Dehydro-3-deoxy-D-gluconate exchange	=				[e] : 2ddglcn <==>	
EX_34dhpac(e)	3,4-Dihydroxyphenylacetaldehyde exchange	=				[e] : 34dhpac <==>	
EX_3amp(e)	3'-AMP exchange	=				[e] : 3amp <==>	
EX_3cmp(e)	3'-cmp exchange	=				[e] : 3cmp <==>	
EX_3gmp(e)	3'-GMP exchange	=				[e] : 3gmp <==>	
EX_3hcinnm(e)	3-hydroxycinnamic acid exchange	=				[e] : 3hcinnm <==>	
EX_3hpppn(e)	3-(3-hydroxy-phenyl)propionate exchange	=				[e] : 3hpppn <==>	
EX_3ump(e)	3'-UMP exchange	=				[e] : 3ump <==>	
EX_4abut(e)	4-Aminobutanoate exchange	=				[e] : 4abut <==>	
EX_4hoxpacd(e)	4-Hydroxyphenylacetaldehyde exchange	=				[e] : 4hoxpacd <==>	
